Sample	Assay	Bed_file	AUROC	PR-AUC	Baseline_PR-AUC
head-of-caudate-nucleus	DNase-seq	ENCFF468LHX.bed	0.9276070640345391	0.24836945343882563	0.009458705357142856
posterior-cingulate-gyrus	DNase-seq	ENCFF691UUG.bed	0.9378186081370493	0.18377987179852853	0.005474728954081633
head-of-caudate-nucleus	DNase-seq	ENCFF443BJO.bed	0.9353417107399536	0.24993109966831564	0.013689811862244898
dorsolateral-prefrontal-cortex	H3K27ac	ENCFF586OIU.bed	0.8433718393010262	0.3138777366605351	0.05060188137755102
SK-N-SH	TAF1	ENCFF407IDB.bed	0.6722958134292469	0.0834214409569698	0.03926977040816326
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF095HVI.bed	0.9285629983466821	0.5891911114446068	0.02928890306122449
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF276LSC.bed	0.8568187547399349	0.19005035976098406	0.003926179846938775
posterior-cingulate-gyrus	DNase-seq	ENCFF615PSI.bed	0.9746523588733204	0.3224147453103557	0.003146922831632653
head-of-caudate-nucleus	DNase-seq	ENCFF004MFA.bed	0.9372321609297264	0.2627466561816563	0.012788982780612244
SK-N-SH	TCF4	ENCFF238RSZ.bed	0.7619708919835976	0.010783832996654958	0.0032784598214285715
dorsolateral-prefrontal-cortex	CTCF	ENCFF735UFW.bed	0.9429896478759842	0.4179645504639553	0.0073301977040816325
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF324FFN.bed	0.9408534966367412	0.605307269923297	0.024726961096938775
motor-neuron	H3K4me1	ENCFF605EAL.bed	0.7703648370744394	0.1696560010593977	0.06651785714285714
angular-gyrus	H3K4me1	ENCFF437RXH.bed	0.8273672376547123	0.10602694178804989	0.027794164540816325
motor-neuron	H3K27ac	ENCFF788KZX.bed	0.8167345536051485	0.27718697525036495	0.04271364795918367
motor-neuron	ATAC-seq	ENCFF432VON.bed	0.8038762989993069	0.2987787106407079	0.037298708545918366
caudate-nucleus	H3K27ac	ENCFF495HNT.bed	0.8455689491274445	0.2674149908875331	0.041501913265306126
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF026LAQ.bed	0.7479535046488591	0.13583468098966273	0.016280691964285714
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF653PXI.bed	0.9305652034045078	0.5917796169093559	0.028665098852040816
SK-N-SH	H3K9me2	ENCFF355FMZ.bed	0.8968079581896977	0.04954027173503884	0.0064931441326530615
posterior-cingulate-gyrus	DNase-seq	ENCFF061CZZ.bed	0.9635319047436111	0.25058575704878483	0.004591836734693878
SK-N-SH	TOX2	ENCFF035QJG.bed	0.7970740057950503	0.01846208794397256	0.0009506536989795919
posterior-cingulate-gyrus	DNase-seq	ENCFF078QUD.bed	0.9606167014730136	0.2745825602142113	0.006612723214285714
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF771YBO.bed	0.9754126859118216	0.3294677798198707	0.00495655293367347
head-of-caudate-nucleus	DNase-seq	ENCFF578IRP.bed	0.9553595073938764	0.2086867792043615	0.005893255739795918
head-of-caudate-nucleus	DNase-seq	ENCFF922ZXC.bed	0.9657295392938922	0.29253368350732384	0.0050980548469387755
dorsolateral-prefrontal-cortex	CTCF	ENCFF427DTQ.bed	0.9506445620971566	0.38803313154453356	0.005943080357142857
brain-microvascular-endothelial-cell	DNase-seq	ENCFF210JHJ.bed	0.8773424076648224	0.15155064860655365	0.01035953443877551
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF983AOQ.bed	0.966476235871265	0.2677803505160799	0.005945073341836735
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF750SYW.bed	0.9665467884624014	0.24846079197828064	0.00391422193877551
head-of-caudate-nucleus	DNase-seq	ENCFF159VDK.bed	0.951341621684722	0.30384744155934634	0.008934550382653061
posterior-cingulate-gyrus	DNase-seq	ENCFF924VXF.bed	0.957388717731037	0.2687801824379689	0.00710499043367347
SK-N-SH	ZFP3	ENCFF049VST.bed	0.8317151430667993	0.04173237704372815	0.0028081154336734694
posterior-cingulate-gyrus	DNase-seq	ENCFF731ALA.bed	0.9531776686809653	0.28212311693797265	0.009281329719387756
posterior-cingulate-gyrus	DNase-seq	ENCFF883BOA.bed	0.9501223188715844	0.17351392163997853	0.007085060586734694
SK-N-SH	EZH2phosphoT487	ENCFF280JJA.bed	0.9870602423059223	0.04917196855572171	0.00016940369897959184
posterior-cingulate-gyrus	DNase-seq	ENCFF854UOQ.bed	0.9595463305151152	0.20114791995531373	0.005735809948979592
dorsolateral-prefrontal-cortex	CTCF	ENCFF201FRB.bed	0.9569961414137931	0.36327832100417734	0.0047612404336734694
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF166LAY.bed	0.6951321494094762	0.11488685103759666	0.01130420918367347
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF006JBO.bed	0.9563895462645531	0.6413395648014079	0.020481903698979592
dorsolateral-prefrontal-cortex	H3K27ac	ENCFF730HDE.bed	0.8291277661771925	0.1839127602754921	0.024174904336734693
medulla-oblongata	DNase-seq	ENCFF270JMS.bed	0.8581252636928716	0.1333537972164213	0.01185626594387755
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF537LHJ.bed	0.780424542862697	0.1368255023407914	0.01639030612244898
head-of-caudate-nucleus	DNase-seq	ENCFF618TJG.bed	0.9586372859671197	0.29234031289570245	0.007507573341836734
motor-neuron	ATAC-seq	ENCFF542CXX.bed	0.8686211564252203	0.337598853501766	0.036872209821428574
dorsolateral-prefrontal-cortex	CTCF	ENCFF246XGW.bed	0.9578000348031533	0.40221614748396584	0.005578364158163265
dorsolateral-prefrontal-cortex	H3K27ac	ENCFF128AQO.bed	0.7728918025826961	0.20583058746536662	0.05390425701530612
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF337HUP.bed	0.9391299529718493	0.6147658760440013	0.026329320790816325
head-of-caudate-nucleus	DNase-seq	ENCFF706ARD.bed	0.9519557663929489	0.30756414558634854	0.007334183673469388
head-of-caudate-nucleus	DNase-seq	ENCFF060BYF.bed	0.8973389872599613	0.20992703374082114	0.009323182397959184
dorsolateral-prefrontal-cortex	H3K27ac	ENCFF216XRU.bed	0.7906647116216841	0.23759278687862762	0.06008649553571429
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF686AFC.bed	0.9444715693046669	0.6149671789385516	0.02234733737244898
SK-N-SH	RCOR1	ENCFF468VKV.bed	0.7188296794095943	0.09376970888243438	0.04769810267857143
SK-N-SH	RXRA	ENCFF018FHH.bed	0.8468083955425016	0.035546627034979385	0.0027283960459183673
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF391XXF.bed	0.9778303276821433	0.2722705780809461	0.0031449298469387755
head-of-caudate-nucleus	DNase-seq	ENCFF688ZPK.bed	0.9477713648512384	0.29219417775149026	0.010865752551020407
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF981QFY.bed	0.946615986363791	0.21479892349062205	0.006521045918367347
dorsolateral-prefrontal-cortex	H3K27ac	ENCFF681YKY.bed	0.8480892672287759	0.18359464691248126	0.012270806760204082
angular-gyrus	H3K9me3	ENCFF631KBV.bed	0.8013646208957884	0.052758288842524474	0.015238360969387755
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF118NVV.bed	0.9766244564842532	0.7204440131027408	0.015563217474489795
head-of-caudate-nucleus	DNase-seq	ENCFF204KDV.bed	0.9399196014421687	0.2735345731138081	0.01096938775510204
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF537QJH.bed	0.8282366892227175	0.16939593660257404	0.0071089764030612245
astrocyte-of-the-hippocampus	DNase-seq	ENCFF111AGF.bed	0.8402824919165232	0.1801945319132235	0.028509646045918366
cingulate-gyrus	H3K27ac	ENCFF838BLK.bed	0.8672487832956559	0.2337184852162356	0.023738440688775512
head-of-caudate-nucleus	DNase-seq	ENCFF930HNM.bed	0.9387681162034648	0.24563240800991432	0.011465640943877552
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF829MRV.bed	0.9490295150543847	0.22607583938376227	0.007840401785714286
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF743LHA.bed	0.956858048061583	0.24908795592601746	0.006937579719387755
dorsolateral-prefrontal-cortex	CTCF	ENCFF821ZJF.bed	0.9612277892807398	0.3721522953975658	0.0046875
posterior-cingulate-gyrus	DNase-seq	ENCFF280SAO.bed	0.9606020673625545	0.23097052040072313	0.005907206632653061
layer-of-hippocampus	H3K36me3	ENCFF337VKV.bed	0.7893958843164972	0.1030880796939179	0.030984933035714285
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF250SJN.bed	0.9459591839373761	0.2711373689505501	0.008988360969387755
head-of-caudate-nucleus	DNase-seq	ENCFF870VMC.bed	0.9361180516212708	0.271805399849245	0.009173708545918367
head-of-caudate-nucleus	DNase-seq	ENCFF548PLG.bed	0.9310635972645515	0.22856354151369077	0.008922592474489796
dorsolateral-prefrontal-cortex	CTCF	ENCFF534RYO.bed	0.9366147281270125	0.4125963972453187	0.007641103316326531
head-of-caudate-nucleus	DNase-seq	ENCFF385SUY.bed	0.9438718882665088	0.26573178110541423	0.00645328443877551
head-of-caudate-nucleus	DNase-seq	ENCFF955UTK.bed	0.936769315566345	0.22582512407450425	0.011047114158163266
PFSK-1	TAF1	ENCFF921WIP.bed	0.5957554810921964	0.10550165637479243	0.1084781568877551
head-of-caudate-nucleus	DNase-seq	ENCFF653GPF.bed	0.9684339555923092	0.2843565071369468	0.0036371970663265306
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF027NAT.bed	0.9263745296370336	0.17026439110489436	0.010760124362244898
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF617EFC.bed	0.9516552126393192	0.2556065174879767	0.013398836096938775
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF784CFJ.bed	0.9021426184788146	0.10220076194952134	0.0008091517857142858
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF416CCS.bed	0.806540379101589	0.18069885642336797	0.010552853954081632
brain	DNase-seq	ENCFF301ARM.bed	0.8899438993674587	0.11459697081047876	0.005909199617346939
PFSK-1	POLR2AphosphoS5	ENCFF785YQI.bed	0.7049280897372292	0.13579109981039453	0.07486846301020408
head-of-caudate-nucleus	DNase-seq	ENCFF076GYZ.bed	0.957662440245021	0.30008793702982245	0.007995854591836734
SK-N-SH	JUND	ENCFF693HAG.bed	0.7106795604680164	0.11168253388189174	0.03998923788265306
head-of-caudate-nucleus	DNase-seq	ENCFF840TVO.bed	0.9422244343977945	0.26716088177497843	0.011084980867346939
posterior-cingulate-gyrus	DNase-seq	ENCFF488OCQ.bed	0.9450565121697009	0.18896554916839836	0.007860331632653062
posterior-cingulate-gyrus	DNase-seq	ENCFF818CZA.bed	0.9513202872707642	0.2390992148166194	0.013879145408163266
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF745PTT.bed	0.9522148603336913	0.18330891264973526	0.0011499521683673468
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF105UFM.bed	0.8097887206745601	0.20712352380038251	0.010321667729591836
brain	DNase-seq	ENCFF693LCL.bed	0.8612644598730694	0.14112965340588898	0.010803970025510205
astrocyte	H3K27me3	ENCFF864TKG.bed	0.7983007180557631	0.11619670415336246	0.015810347576530614
dorsolateral-prefrontal-cortex	H3K27ac	ENCFF954CRD.bed	0.8046368328730596	0.2427755829161675	0.05103635204081633
motor-neuron	H3K4me1	ENCFF493FAP.bed	0.8028678747794202	0.12691279510338077	0.035971380739795916
dorsolateral-prefrontal-cortex	H3K27ac	ENCFF528AIU.bed	0.7952569864923418	0.24890232446929028	0.060853794642857145
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF186LFN.bed	0.9516034056720072	0.642343337177505	0.022122130102040817
SK-N-SH	MEF2A	ENCFF582FLX.bed	0.8164592535989291	0.0164932980674102	0.0013034119897959184
dorsolateral-prefrontal-cortex	CTCF	ENCFF835BZY.bed	0.9573363166198308	0.36133188451024384	0.004643654336734694
PFSK-1	SIN3A	ENCFF984IIC.bed	0.9322420201370056	0.10434173186018324	0.0019850127551020408
brain	DNase-seq	ENCFF549EGS.bed	0.8549770351443193	0.14090940543071295	0.01141780931122449
dorsolateral-prefrontal-cortex	H3K27ac	ENCFF812QHM.bed	0.821123792788509	0.2912591628889463	0.062063536352040816
dorsolateral-prefrontal-cortex	CTCF	ENCFF813NGM.bed	0.9526160048989271	0.4021962830484901	0.005592315051020408
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF535LNZ.bed	0.9475233059253811	0.599736791338592	0.021615911989795917
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF154JNK.bed	0.9415252672065262	0.6229736199091013	0.02688934948979592
posterior-cingulate-gyrus	DNase-seq	ENCFF681XDF.bed	0.9554781781208888	0.17860179339124674	0.00487484056122449
layer-of-hippocampus	H3K27me3	ENCFF904KSM.bed	0.7622087319122922	0.11500375634394039	0.024774792729591835
substantia-nigra	H3K27me3	ENCFF419YBC.bed	0.8069969965156127	0.06499195938345015	0.006708386479591837
cingulate-gyrus	H3K9ac	ENCFF359FMD.bed	0.9196290836590536	0.3968709310875052	0.029807079081632652
temporal-lobe	H3K36me3	ENCFF974GKG.bed	0.7928470995569343	0.10804922648493319	0.03259327168367347
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF510PLY.bed	0.9577762951277835	0.2866517370039089	0.012593670280612245
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF258FEY.bed	0.9502784027575123	0.2681584473947247	0.00721859056122449
dorsolateral-prefrontal-cortex	CTCF	ENCFF659ZSO.bed	0.9428733827134215	0.3890630143493704	0.007118941326530613
dorsolateral-prefrontal-cortex	CTCF	ENCFF981UJM.bed	0.9327617766127929	0.39842744851386575	0.008645567602040816
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF724HAK.bed	0.8452787575591041	0.1200670332180078	0.015003188775510204
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF583VEU.bed	0.9529348001719655	0.2852396124498653	0.008970424107142856
posterior-cingulate-gyrus	DNase-seq	ENCFF093JBS.bed	0.9761784886713879	0.2873746944620287	0.003627232142857143
dorsolateral-prefrontal-cortex	H3K27ac	ENCFF089YVE.bed	0.8170605418779407	0.25389566531390806	0.04983856823979592
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF615YXX.bed	0.9504108615116572	0.21179814353079257	0.007485650510204082
brain	DNase-seq	ENCFF491PPP.bed	0.849126534423843	0.12135376956911695	0.009135841836734694
dorsolateral-prefrontal-cortex	CTCF	ENCFF660KBC.bed	0.9550827931671401	0.37500692826195814	0.005038265306122449
posterior-cingulate-gyrus	DNase-seq	ENCFF956CIU.bed	0.9622702347348701	0.26054537243893294	0.009046157525510204
dorsolateral-prefrontal-cortex	CTCF	ENCFF969MRV.bed	0.9437865247865285	0.39547096674126275	0.0054468271683673465
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF853PIR.bed	0.9583621557186552	0.21637660068429215	0.006389508928571428
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF667UDE.bed	0.9395750168887798	0.6171449960854991	0.0264469068877551
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF370DBB.bed	0.6830838209606973	0.11414607320981351	0.014652423469387756
caudate-nucleus	H3K27me3	ENCFF360EQE.bed	0.7986831231896909	0.10621869658525643	0.024170918367346937
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF135AQL.bed	0.9648282026893138	0.2569062368119771	0.005211654974489796
motor-neuron	H3K27ac	ENCFF916FML.bed	0.8843970666219343	0.2774892700082557	0.014102359693877551
substantia-nigra	H3K4me1	ENCFF356UEG.bed	0.8051473827275548	0.12554551251110316	0.03836894132653061
dorsolateral-prefrontal-cortex	H3K27ac	ENCFF318GXB.bed	0.8653117224744523	0.2708703554255221	0.023573022959183672
SK-N-SH	H3K4me1	ENCFF859KYV.bed	0.8373371382715771	0.1525189383104629	0.036631058673469385
dorsolateral-prefrontal-cortex	H3K27ac	ENCFF672SGH.bed	0.7757630001023861	0.19725920458751525	0.04445551658163265
layer-of-hippocampus	H3K4me3	ENCFF071XLQ.bed	0.9292314874318554	0.5666003748013362	0.02356704400510204
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF556GWE.bed	0.7270125251687949	0.13803625773414427	0.01811423788265306
SK-N-SH	JUND	ENCFF246HKM.bed	0.8544289954231445	0.07572038090015436	0.005695950255102041
dorsolateral-prefrontal-cortex	CTCF	ENCFF881GDD.bed	0.9498788863693362	0.4162767302521775	0.006652582908163266
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF870ORN.bed	0.8760418590059931	0.1388811300026841	0.011850286989795919
frontal-cortex	DNase-seq	ENCFF855HES.bed	0.8951205790881259	0.1683066622160693	0.009347098214285714
head-of-caudate-nucleus	DNase-seq	ENCFF034FHR.bed	0.9729484112012312	0.31893869156896637	0.0037846779336734694
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF330NSJ.bed	0.6887517069840898	0.14212634761878418	0.014186065051020408
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF794FGI.bed	0.9281422157096499	0.5892267705942734	0.029318797831632652
head-of-caudate-nucleus	DNase-seq	ENCFF290LOQ.bed	0.963094015524825	0.2855693766271546	0.005078125
SK-N-SH	IRF3	ENCFF886DXP.bed	0.6701546154282699	0.04729243575974337	0.035867745535714285
brain	H3K27me3	ENCFF319SIY.bed	0.8077004020198846	0.10807768732887127	0.006391501913265306
BE2C	H3K27me3	ENCFF253TFO.bed	0.6471021847496758	0.08284198574768678	0.02825454400510204
substantia-nigra	H3K4me3	ENCFF146OJJ.bed	0.905925278653041	0.4569872900689248	0.018799824617346937
layer-of-hippocampus	H3K4me1	ENCFF260KOR.bed	0.8725908631865659	0.15006059854188042	0.024426020408163267
caudate-nucleus	H3K27me3	ENCFF647OAW.bed	0.8202297265803877	0.0632821402015287	0.004745296556122449
head-of-caudate-nucleus	DNase-seq	ENCFF126IRF.bed	0.929622369727249	0.2652927186073053	0.011330117984693877
cingulate-gyrus	H3K27me3	ENCFF836LWT.bed	0.7995564404097464	0.11476201580130636	0.022823660714285713
temporal-lobe	H3K27me3	ENCFF067HQZ.bed	0.7966142284743296	0.09243261784671375	0.015533322704081632
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF054JCY.bed	0.9069853109951664	0.1909247021216667	0.024212771045918367
head-of-caudate-nucleus	DNase-seq	ENCFF094ZZB.bed	0.9596405576236662	0.2901333197904642	0.00675422512755102
choroid-plexus-epithelial-cell	CTCF	ENCFF593OEP.bed	0.9195131598430776	0.3151127724586733	0.0064592633928571425
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF221SKL.bed	0.7601678669828076	0.13465529752900393	0.022018494897959182
